ID,Title,Abstract,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Snowballing applied?,Notes
103,The psychological aspects and implementation of adaptive games for mobile application,"The mobile games industry and its development goals were not just for entertainment, but also used for educational of students interactively. Unfortunately the development of adaptive educational games that consider the psychological aspects for student on mobile platforms in Indonesian language that interesting and entertaining for learning process is very limited. This paper shows the research of development of novel adaptive games for students who can adjust the difficulty level of games based on the ability of the user, so that it can motivate students to continue to play these games. We propose a method where these games can adjust the level of difficulty, based on the assessment of the results of previous problems using neural networks with three inputs in the form of percentage correct, the speed of answer and interest mode of games (animation / lessons) to producel output. The experimental results are presented and show the adaptive games are running well on mobile devices based on BlackBerry platform.",Widodo Budiharto ; Ro'fah Nur Rachmawati ; Michael Yoseph Ricky ; B. R. Pingkan Chyntia,2013 International Joint Conference on Awareness Science and Technology Ubi-Media Computing (iCAST 2013 UMEDIA 2013),Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,, but not technical 
104,Providing assurances for self-adaptation in a mobile digital storytelling application using ActivFORMS,"Self-adaptability enables a system to adapt itself to changes in its execution conditions and user requirements in order to achieve particular quality goals. However, assuring that the adaptation goals are satisfied poses complex challenges. We recently developed the ActivFORMS approach that aims to tackle some of these challenges, but further research is required to evaluate the approach. This paper presents the results of a study in which we applied ActivFORMS to a mobile storytelling application that employs a social recommender. The initial version of the application used a static recommender that could not deal with changing environment conditions, or take into account preferences of users. To that end, we added a self-adaptive layer on top of the application. The study results show that self-adaptation significantly increases the quality of recommendations compared to the initial version by: (1) enabling the social recommender to adapt to the quality of user input and unavailability of the GPS service, and (2) making the recommender adaptive to user preferences. Providing guarantees for these adaptation goals is crucial in this domain from a business perspective. The study results show the feasibility and effectiveness of ActivFORMS for a practical application, but they also underpin the need for an integrated verification approach for self-adaptive systems that combines offline with online verification.","D Weyns, S Shevtsov, S Pllana",IEEE Eighth International Conference on Self-Adaptive and Self-Organizing Systems,Conference Paper,2014,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
105,"Application-aware adaptive cache architecture for power-sensitive mobile processors
","Today, mobile smartphones are expected to be able to run the same complex, algorithm-heavy, memory-intensive applications that were originally designed and coded for general-purpose processors. All the while, it is also expected that these mobile processors be power-conscientious as well as of minimal area impact. These devices pose unique usage demands of ultra-portability but also demand an always-on, continuous data access paradigm. As a result, this dichotomy of continuous execution versus long battery life poses a difficult challenge. This article explores a novel approach to mitigating mobile processor power consumption while abating any significant degradation in execution speed. The concept relies on efficiently leveraging both compile-time and runtime application memory behavior to intelligently target adjustments in the cache to significantly reduce overall processor power, taking into account both the dynamic and leakage power footprint of the cache subsystem. The simulation results show a significant reduction in power consumption of approximately 13% to 29%, while only incurring a nominal increase in execution time and area.","G Bournoutian, A Orailoglu",ACM Transactions on Embedded Computing Systems (TECS) ,Journal Article,2013,Query,yes,yes,no,,x,,,,,,,,
106,Applications of Modern HCIs in Adaptive Mobile Learning,"Our paper shows how the evolution of HCI devices progresses as a mobile learning tool. Mobile devices provide interesting applications for cognitive infocommunication. Our principal objective is to assist in developing educational games on these devices. Working with different educational institutes, we designed a flexible biofeedback-controlled self-rewarding framework. Several promising approaches and methods are proposed outside the box of educational games in this paper. The attention of players is regulated by changing rewards. We show both how educational games can be improved and how adaptive entertainment games may be developed in the near future.","L Szegletes, B Forstner ",Journal of Advanced Computational Intelligence and Intelligent Informatics,Journal Article,2014,Query,yes,yes,no,,x,,,,,,,,
107,"An Adaptive Mobile Learning Application for Beginners to Learn Fundamental Japanese Language
","It is difficult for beginners to learn Japanese by self-learning because there is no teacher can give any guidance and feedback to them for improvement. Besides, most of the beginners may not have any basic knowledge of Japanese language, for example, Japanese alphabets or phonology, they don’t have any idea how to get start with and what should be learnt at the beginning. This paper introduces an Android mobile application for the beginners to acquire fundamental knowledge of Japanese language so as to gain the self-learning proficiency in Japanese. This application provides learning materials, auto-generated exercises, handwriting practice tool, voice recording and recognition tool for beginners to learn Japanese. Besides, this application proposes an adaptive learning system to users, which aims to provide different supplementary exercises or learning approaches to learner based on the current performance of an individual learner.","SC Ng, AK Lui, YK Wong",Technology in Education. Transforming Educational Practices with Technology,Conference Paper,2015,Query,yes,yes,no,x,,,,,,,,,
108,"Adaptive Content Recommendation by Mobile Apps Mash-Up in the Ubiquitous Environment
","Traditionally, e-services are composed to assist the enterprise business process. In recent years, Software as a Service (SaaS) model in cloud computing enriches the mobile commerce. Mobile commerce promotes the service providers building an application market platform to serve customers. However, an application market platform may collect a huge number of mobile application services (mobile Apps) and each App is usually designed with little functionality. A customer may fetch a number of Apps to mash up in order to satisfy his/her comprehensive requirements. How to mash up the Apps to provide a feature-rich composition for a customer becomes an interest research issue. In this work, we explore an approach of Apps mash-up composition in a service platform for adaptive content recommendation. A user profile conducts the service level agreements in evaluating the service quality. An Apps mash-up composition is recommended to the customer an adaptive content in a ubiquitous environment.","CK Ke, YJ Yeh, CY Jen, SW Tang",Information Technology Convergence,Conference Paper,2013,Query,yes,no,no,,,,,,,,x,,
109,"Adaptive Multi-Services System for Maternal and Child Health Care on Mobile Application (AM-Care)
","Addressing efforts towards the improvement of maternal and child health management can often prove to be problematic in context to successfully obtaining healthcare and medical treatment information from health care professionals. In this regard, the authors propose an adaptive multi-service system that contains fully integrated health care services, medical treatment services, and maternal and child health management. The system utilized both web-based and mobile technology for implementing the application. A practical framework for generating individual maternal and child health care is also presented from data repositories and fully integrated functional health care services to support an improved quality of life for both mother and children. The application, namely AM-Care, consists of the three main components, i.e., Control Centre Component, Web-based Components, and Mobile Components. Also, AM-Care has the important add-on features such as emergency services and warning services.","W Romsaiyud, W Premchaiswadi ",International Journal of Healthcare Information Systems and Informatics (IJHISI),Journal Article,2010,Query,yes,no,no,,,,,,,,x,,
110,"Adaptive Deployment Infrastructure for Android Applications
","Due to the popularization of mobile devices, the number of mobile applications has increased in recent years. Mobile devices are constantly evolving on computing capabilities, requiring the ability of mobile applications to deal with variations in services availability and computing resources. However, most of these applications are deployed using static configurations, making difficult to tolerate failures during their execution. In this context, we propose an adaptive deployment infrastructure to deal with this problem. Our solution proposes an autonomic loop that manages the current configuration model of a service application using dynamic feature model associated with the deployed architectural model. During runtime, according to the dynamic feature selection, the deployed architectural model can be modified in order to provide a new deployment solution. A mobile application was implemented using our solution, and after changes in services availability, it proved to be able to tolerate failures by dynamically changing its deployed configuration.","JC Casquina, JDAS Eleuterio, CM. F. Rubira",12th European Dependable Computing Conference (EDCC),Conference Paper,2016,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
111,Enabling Adaptive Context Views for Mobile Applications : Negotiating Global and Dynamic Sensor Information,"Mobile devices with Internet access and large amounts of sensors, pushes the development of intelligent services towards new forms of pervasive applications. These applications are made context-aware by utilizing information from sensors and hence the context of a situation, in order to provide a better service. Based on this, the focus of this thesis is on the challenge of creating context awareness in mobile applications. That both utilizes dynamic context information from globally available sensors and provides adaptive views of relevant context information to applications.

The first challenge is to identify the properties of an architecture that provides scalable access to information from global sensors within bounded time, because existing systems do not support these properties in a satisfactory manner. The majority of related systems employ a centralized approach with limited support for global sensor information due to poor scalability. Therefore, this thesis proposes a distributed architecture capable of exchanging context between users and entities on a peer-to-peer overlay. Pervasive applications can thus utilize global sensor information in a scalable and manageable way within predictable time bounds.

The second challenge to support continually changing and evolving context information, while providing it as both adaptive and manageable views to applications. To address this particular problem, this thesis proposes the usage of a locally stored evolving context object called a context schema. In detail, this schema contains all context information that is considered as being relevant for a specific user or entity. Furthermore, this thesis proposes an application interface that can provide snapshots of the evolving context schemas as adaptive views. These views can then be used in context-aware mobile applications, without inducing unnecessary delays.

By successfully addressing the challenges, this thesis enables the creation of pervasive and adaptive applications that utilize evolving context in mobile environments. These capabilities are made possible by enabling access to global sensor information based on a distributed context exchange overlay, in combination with evolving context schemas offered as views through an application interface. In support of these claims, this thesis has developed numerous proof-of-concept applications and prototypes to verify the approach. Hence, this thesis concludes that the proposed approach with evolving context information has the ability to scale in a satisfactory manner and also has the ability to dynamically offer relevant views to applications in a manageable way.",S Forsström ,diva-portal.org ,"Research Article
- Web Page",2011,Query,,,,,,,,,,x,,,Assumed it was not peer reviewd since it is a webpage article
112,"Model-Driven Development of Adaptive Applications with Self-Adaptive Mobile Processes
","Writing adaptive applications is complex and thus error-prone. Our (SAM-WSs) already provide adaptation support in terms of location, available state, provided functionality and implementation in use. Yet, SAM-WSs still require developers implementing the adaptation logic themselves.In this work, we present an approach to ease the implementation of adaptive applications with SAM-WSs. We introduce our concept of a (SAMProc), an abstraction for adaptive applications, and SAMPEL, an XML application to describe a SAMProc. We show a tool that automatically generates SAM-WSs adaptation code on the basis of the SAMPEL description. Then, we go even one step further by providing an Eclipse plug-in that allows automatic generation of the SAMPEL description on the basis of a graphic model. This enables generating a SAM-WS implementation with few clicks; developers have to write pure application logic only.","H Schmidt, CT Dang, S Gessler, FJ Hauck","OTM Confederated International Conferences ""On the Move to Meaningful Internet Systems""",Conference Paper,2009,Query,"yes
",yes,yes,,x,,,,,,,,
113,"An Architecture for Adaptive and Adaptable Mobile Applications for Physically Handicapped People
","Context-awareness is an important capability needed in devices in a ubiquitous computing environment. Ubiquitous computing devices use different types of sensors along with the user’s interaction history in order to collect and store data. This data is then used to adapt the user’s behavior to suit the current environment. In addition to the explicit modifications by user control, the behavior of these computing devices along with the interaction amongst one another depends on the continuously changing environment conditions. These characteristics require the development of systems that have both, adaptive and an adaptable nature. Context-awareness is particularly important for physically handicapped people. This is due to the fact that context-aware ubiquitous devices are able to help them detect changes in the surrounding, which handicapped people can not do for themselves. In this research paper we suggest a general architecture of Context-Aware Adaptable System (CAAS). We exemplify this architecture with an Ambient Service prototype that we have developed.","M Betz, M Huq, V Pipek, M Rohde, G Stevens, R Englert, V Wulf","International Conference on Universal Access in Human-Computer Interaction
UAHCI 2007: Universal Acess in Human Computer Interaction. Coping with Diversity pp 335-344",Conference Paper,2007,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
114,Architecture for Adaptive Mobile Applications,"Mobile computing is a relatively new field. While the challenges arising from mobility and the limitations of the portable devices are relatively well understood, there is no consensus yet as to what should be done to address these challenges. A comprehensive solution has to address many different aspects, such as the issue of dynamically changing bandwidth, the power, computational, and other limitations of the portable devices, or the varying availability of services in different environments.",HK Kim ,International Journal of Bio-Science and Bio-Technology,Journal Article,2013,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
115,Adaptive antenna system: design and applications for the next generation mobile devices,"adaptive antenna system is a smart antenna with an array of antenna elements connected to a digital signal processor, enhancing the capacity of a wireless link. The optimization of its radiation or reception pattern automatically in response to the signal environment is the consequence. This can dramatically increase the performance characteristics (such as capacity) of a wireless system. Better range/coverage, increased capacity of signal transmission, multipath rejection, at reduced expense is some of its pros which makes it efficient. Adaptive antenna systems are applicable to FDMA, TDMA, CDMA, FDD and TDD. The Adaptive Antenna can also separate the signals from multiple users separated in space (i.e. by distance) but who use the same radio channel (i.e. center frequency, time-slot, and/or code); called space-division multiple access (SDMA). The design parameters and the simulation results of the Adaptive Antenna are presented in this Seminar Topic","SK Dastoor, NB Patel ","Int'l J. Engineering Innovative Technology,",Journal Article,2012,Query,yes,yes,yes,,x,,,,,,,,
116,"Adaptive and robust feature selection for low bitrate mobile augmented reality applications
","Mobile augmented reality applications rely on automatically matching a captured visual scene to an image in a database. This is typically achieved by deriving a set of features for the captured image, transmitting them through a network and then matching with features derived for a database of reference images. A fundamental problem is to select as few and robust features as possible such that the matching accuracy is invariant to distortions caused by camera capture whilst minimising the bit rate required for their transmission. In this paper, novel feature selection methods are proposed, based on the entropy of the image content, entropy of extracted features and the Discrete Cosine Transformation (DCT) coefficients. The methods proposed in the descriptor domain and DCT domain achieve better matching accuracy under low bit rate transmission than start-of-the-art peak based feature selection used within the MPEG-7 Compact Descriptor for Visual Search (CDVS). This is verified from image retrieval experiments and results for a realistic dataset with complex real world capturing distortion. Results show that the proposed method can improve the matching accuracy for various detectors and also indicate that the feature selection can not only achieves low bit rate transmission but also results in a higher matching accuracy than using all features when applied to distorted images. Hence, even if all the features can be transmitted in high transmission bandwidth scenarios, feature selection should still be applied to the distorted query image to ensure high matching accuracy.","Y Cao, C Ritz, R Raad ",8th International Conference on Signal Processing and Communication Systems (ICSPCS),Conference Paper,2014,Query,yes,yes,yes,x,,,,,,,,,
117,"An Adaptive B-Spline Neural Network and Its Application in Terminal Sliding Mode Control for a Mobile Satcom Antenna Inertially Stabilized Platform
","The mobile satcom antenna (MSA) enables a moving vehicle to communicate with a geostationary Earth orbit satellite. To realize continuous communication, the MSA should be aligned with the satellite in both sight and polarization all the time. Because of coupling effects, unknown disturbances, sensor noises and unmodeled dynamics existing in the system, the control system should have a strong adaptability. The significant features of terminal sliding mode control method are robustness and finite time convergence, but the robustness is related to the large switching control gain which is determined by uncertain issues and can lead to chattering phenomena. Neural networks can reduce the chattering and approximate nonlinear issues. In this work, a novel B-spline curve-based B-spline neural network (BSNN) is developed. The improved BSNN has the capability of shape changing and self-adaption. In addition, the output of the proposed BSNN is applied to approximate the nonlinear function in the system. The results of simulations and experiments are also compared with those of PID method, non-singularity fast terminal sliding mode (NFTSM) control and radial basis function (RBF) neural network-based NFTSM. It is shown that the proposed method has the best performance, with reliable control precision.","X Zhang, Y Zhao, K Guo, G Li, N Deng","Sensors 2017, 17(5), 978; https://doi.org/10.3390/s17050978",Journal Article,2017,Query,yes,yes,no,,x,,,,,,,,
118,An adaptive and unified mobile application development framework for Java,"Although wireless networks and mobile devices have become prevalent, the diversity of mobile devices and unsteadiness of wireless networks still cause software development much trouble. In addition, the variety of services in Internet or Intranet, such as Web services, UPnP services, Jini services and so on, will also increase the difficulty in using them. Thus, when developing a mobile application to access these services, developers are forced to expose to these problems and therefore it will spend much time writing a mobile application. Although many studies on user interface adaptation and language transformation have attempted to solve the problems, most of them do not consider the computing power and functionalities of end-devices. As a result, some resources are ignored or wasted. To solve above problems, an adaptive framework, named GMA, is proposed to help developers build mobile applications quickly and easily. GMA framework can tailor an application to fit different devices according to not only user interface formats but also the computing power and functionalities of the devices. Besides, a universal service interface is proposed and developers can use a unified API to access different backend-services. As a result, a mobile application developed on GMA can enjoy the ""write once, run everywhere, and access anything"" benefit.","MC Cheng, SM Yuan",JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,Journal Article,2007,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
119,"Improving the user experience using an intelligent Adaptive User Interface in mobile applications
","nowadays, we witness an abundancy in mobile applications and a richness in their functionality. However, many of them were developed with insufficient attention when it comes to usability and user friendliness. As such, we may find one application's interface clogged with controls that hamper the user from using it properly or another's interface designed without taking care of universal usability. The result is that the user experience with different applications goes from being a total satisfaction to a total frustration. Very good care should be taken while designing mobile applications since the mobile phone are constrained with a limited screen size and a few interaction mechanisms. Adaptive User Interfaces (AUIs) were proposed in order to levitate the negative impact of these constraints and, as such, help improve the application's usability. In this paper, we propose a number of intelligent adaptive mechanisms capable of monitoring the user's behavior on a mobile phone and then adapting the interface accordingly. Our proposed mechanisms yield significant usability benefits and make the user's experience with this application more satisfying.",S Raheel , IEEE International Multidisciplinary Conference on Engineering Technology (IMCET),Conference Paper,2016,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
120,Mobile system energy conservation for adaptive multimedia applications,"As mobile systems become increasing prevalent, they are being called upon to run multimedia applications traditionally associated with the wired domain. Unfortunately, battery capacity is not keeping pace with system demand, driving the demand for energy efficiency. Unfortunately, the encapsulation of traditional layered designs limits the energy that can be saved because layers cannot cooperate. However, monolithic systems have been shown to be inefficient and unscalable. In this paper, we present the design and implementation of a system consisting of multiple adaptive applications, and adaptive MAC and transport layers. We evaluate this system by implementing an adaptive video encoding application, showing that a layered approach sharing enough information can enable energy efficiency while maintaining sufficient isolation to allow the replacement of components without requiring a whole-system redesign.","AF Harris, R Snader, R Kravets","International Symposium on a World of Wireless, Mobile and Multimedia Networks",Conference Paper,2008,Query,yes,yes,yes,x,,,,,,,,,
121,"MAsCOT: Self-Adaptive Opportunistic Offloading for Cloud-Enabled Smart Mobile Applications with Probabilistic Graphical Models at Runtime
","Although extensive progress has been made in Mobile Cloud Augmentation, automated decision support on the device that enables the opportunistic and intelligent use of cloud resources is missing. Furthermore, we need solutions with reflective capabilities that can handle a changing environment and runtime variability. To simplify the deployment of smart mobile applications, we present a framework with retrospective decision support based on reinforcement learning to cater for various resource-performance trade-offs. We have adopted the MAPE-K (Monitor-Analyse-Plan-Execute-Knowledge) control loop architecture and realized the loop with Dynamic Decision Networks to manage self-adaptation at runtime. Our experiments show that our framework is capable of intelligently inferring appropriate decisions with an acceptable performance overhead of 10 milliseconds on mobile devices.",Nayyab Zia Naqvi ; Jonas Devlieghere ; Davy Preuveneers ; Yolande Berbers,9th Hawaii International Conference on System Sciences (HICSS),Conference Paper,2016,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
122,Adaptive Mobile Applications to Dynamic Context,"Context-aware computing is a mobile computing paradigm in which applications can discover and take advantage of contextual information, such as user location, time of the day, nearby people and devices, and user activity. This paper intends to study the context-awareness in depth and demonstrate the usefulness of this new technology through two mobile applications that are adaptive to dynamic context.","M Zheng, B Wei, Z Zhang, X Yan","Journal of Computer and Communications, 2014, 2, 9-13
Published Online July 2014 in SciRes. http://www.scirp.org/journal/jcc
http://dx.doi.org/10.4236/jcc.2014.29002",Journal Article,2014,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
123,"The Novel Method of Adaptive Multiplayer Games for Mobile Application using Neural Networks
","The rapid development of the games industry and its development goals were not just for entertainment, but also used for educational of students interactively. Unfortunately the development of adaptive educational games on mobile platforms in Indonesian language that interesting and entertaining for learning process is very limited. This paper shows the research of development of novel adaptive multiplayer games for students who can adjust the difficulty level of games based on the ability of the user, so that it can motivate students to continue to play these games. The authors propose a method where these games can adjust the level of difficulty, based on the assessment of the results of previous problems using neural networks with three inputs in the form of percentage correct, the speed of answer and interest mode of games (animation / lessons) to produce 1 output. The experimental results are presented and show the adaptive multiplayer games are running well on mobile devices based on BlackBerry platform.","W Budiharto, MY Ricky ",International Journal of Mobile Computing and Multimedia Communications (IJMCMC),Journal Article,2013,Query,yes,yes,no,x,,,,,,,,,
124,"An Optimization of Context Sharing for Self-adaptive Mobile Applications
","Because of the high potential of mobile and pervasive computing systems, there is an ongoing trend in developing applications exhibiting context awareness and adaptive behavior. While context awareness guarantees that the applications are aware of both their context and their own state, dynamic adaptivity enables them to react on their knowledge about it and optimize their offered services. However, because in pervasive computing environments there is also a need for enabling arbitrary synergies, such a behavior also requires appropriate algorithms implementing the adaptation logic required to reason on the sensed context and dynamically decide on the most appropriate adaptations. This paper discusses how utility function-based approaches can use context-awareness for that and, additionally, it shows how the decision-making process is improved with respect to both performance and resource consumption by using a more intelligent approach.","N Paspallis, GA Papadopoulos ",Algorithms and Architectures for Parallel Processing,Conference Paper,2008,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
125,"Design of adaptive domain-specific modeling languages for model-driven mobile application development
","The use of a DSL is a common approach to support cross-platform development of mobile applications. However, most DSL-based approaches suffer from a number of limitations such as poor performance. Furthermore, DSLs that are written ab initio are not able to access the capabilities supported by the native platforms. This paper presents a novel approach of using an adaptive domain-specific modeling language (ADSML) to support model-driven development of cross-platform mobile applications. We will discuss the techniques in the design of an ADSML for developing mobile applications targeting the Android and iOS platforms, including meta-model extraction, meta-model elevation, and meta-model alignment. Our approach is capable of generating high performance native applications; is able to access the full capabilities of the native platforms; and is adaptable to the rapid evolutions of its target platforms.","X Jia, C Jones ",10th International Joint Conference on Software Technologies (ICSOFT),Conference Paper,2015,Query,yes,yes,no,x,,,,,,,,,
126,"Adaptive mobile application identification through in-network machine learning
","Application identification is beneficial for malware detection, content cache, application-specific QoS, traffic control, etc. The existing identification methods using machine learning are usually limited to identification of protocols, not applications, and hard to adapt to the emergence of new applications. We have been proposing a new method for adaptive application identification with machine learning where we create training dataset in real-time by tagging traffic with application process names from a small number of modified smartphones and identify the unknown flow using the classifier trained by the training data. Our previous research [1] achieves more than 80% of accuracy in application identification when not using DPI (Deep Packet Inspection). In this paper, we propose an extension to the previous method using DPI and on-line machine learning with pre-classification of traffic based on ports to improve the inference accuracy. The evaluation shows that our method can identify more than 92% of traffic accurately using DPI when learning period is 5 days, and achieves up to 93% of accuracy at best for general traffic. When limited to HTTP, the accuracy becomes 96%. This result shows that we can build a system identifying more than 92% of the applications adaptively in relatively short training period, e.g., 5 days of training, even when new applications emerge. We envision that our proposed system eventually enables application specific traffic engineering as well as application specific network function execution within the network.","T Iwai, A Nakao",18th Asia-Pacific Network Operations and Management Symposium (APNOMS),Conference Paper,2016,Query,yes,yes,no,x,,,,,,,,,
127,"Adaptive and Dynamic Service Composition for Cloud-Based Mobile Application
","Adaptive and dynamic service composition are the main research challenges in Service-oriented Architecture (SOA). We are looking into improving the efficiency of dynamic composition and the methods on how to improve the discovery of web services. Currently the approaches which are available do not compose while checking for errors. In this paper, we will be composing web services using Multi Agent Methods (MAS) and Petri Net for error checking to improve the efficiency of the composition. We are implementing the composition engine using Business Process Model (BPM) to compose web services while MAS is used to locate web services. Proposed architecture is expected to produce a dynamic web service composition engine and improve reusability for Cloud-Based Mobile Application.","RK Ramasamy, FF Chua, SC Haw",Advanced Computer and Communication Engineering Technology,Conference Paper,2015,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
128,Application-Layer Rate-Adaptive Multicast Video Streaming over 802.11 for Mobile Devices,"Multicast video streaming over IEEE 802.11 is unreliable due to the lack of feedback from receivers. High data rates and variable link conditions require feedback from the receivers for link estimation to improve reliability and rate adaptation accordingly. In this paper, we validate on a test platform an application-layer rate-adaptive video multicast streaming framework using an 802.11 ad-hoc network applicable for mobile senders and receivers. Experimental results serve as a proof of concept and show the performance in terms of goodput, delay, packet loss, and received video quality.","R Muzaffar, E Yanmaz, C Bettstetter, A Cavallaro","Proceedings of the 2016 ACM on Multimedia Conference
Pages 506-510 ",Conference Paper,2016,Query,yes,yes,no,x,,,,,,,,,
129,An adaptive computation offloading decision for energy-efficient execution of mobile applications in clouds,"In recent years, computation offloading, through which applications on a mobile device can offload their computations onto more resource-rich clouds, has emerged as a promising technique to reduce battery consumption as well as augment the devices' limited computation and memory capabilities. In order for computation offloading to be energy-efficient, an accurate estimate of battery consumption is required to decide between local processing and computation offloading. In this paper, we propose a novel technique for estimating battery consumption without requiring detailed information about the mobile application's internal structure or its execution behavior. In our approach, the relationship is derived between variables that affect battery consumption (i.e., the input to the application, the transmitted data, and resource status) and the actual consumed energy from the application's past run history. We evaluated the performance of the proposed technique using two different types of mobile applications over different wireless network environments such as 3G, Wi-Fi, and LTE. The experimental results show that our technique can provide tolerable estimation accuracy and thus make correct decisions between local processing and computation offloading.","BD Lee, KH Lim, YH Choi, N Kim",IEICE TRANSACTIONS on Information and Systems,Journal Article,2014,Query,yes,yes,yes,x,,,,,,,,,
130,Application of multiple description coding for adaptive QoS mechanism for mobile cloud computing,"Multimedia transmission over cloud infrastructure is a hot research topic worldwide. It is very strongly related to video streaming, VoIP, mobile networks, and computer networks. The goal is a reliable integration of telephony, video and audio transmission, computing and broadband transmission based on cloud computing. One right approach to pave the way for mobile multimedia and cloud computing is Multiple Description Coding (MDC), i.e. the solution would be: TCP/IP and similar protocols to be used for transmission of text files, and Multiple Description Coding “Send and Forget” algorithm to be used as transmission method for Multimedia over the cloud. Multiple Description Coding would improve the Quality of Service and would provide new service of rate adaptive streaming. This paper presents a new approach for improving the quality of multimedia and other services in the cloud, by using Multiple Description Coding (MDC). Firsty MDC Send and Forget Algorithm is compared with the existing protocols such as TCP/IP, UDP, RTP, etc. Then the Achievable Rate Region for MDC system is evaluated. Finally, a new subset of Quality of Service that considers the blocking in multi-terminal multimedia network and fidelity losses is considered","I Sadeh, S Kitanov, D Davcev ","International Journal of Cloud Computing and Services Science (IJ-CLOSER)
Vol.2, No.6, December 2013, pp. 391~402 ",Journal Article,2013,Query,yes,yes,no,x,,,,,,,,,
131,CloudAware: Empowering context‐aware self‐adaptation for mobile applications,"Mobile devices are already woven into our everyday life, and we became accustomed that mobile applications assist us in a multitude of daily activities. With the rise of the Internet of Things, new opportunities to further automatize tedious tasks open up. New functional and user experience requirements demand for further resources and new ways to acquire these, because mobile devices remain comparatively limited in terms of, eg, computation, storage, and battery life. To face these challenges, current approaches augment mobile applications either with cloud resources (mobile cloud computing) or with resources near the mobile device at the logical edge of the network (mobile edge computing) onto which tasks can be offloaded during runtime. However, this does not automatically solve the conflict between resource demands and good user experience, as current solutions prove. It is the dynamically changing context that makes for good or bad offloading strategies. In this paper, we corroborate this finding by first evaluating 40 existing solutions based on a requirements catalogue derived from several application scenarios as well as the International Organization for Standardization/International Electrotechnical Commission criteria for software quality. Afterward, we present CloudAware, which is a mobile cloud computing/mobile edge computing middleware that supports automated context-aware self-adaptation techniques that ease the development of elastic, scalable, and context-adaptive mobile applications. Moreover, we present a qualitative evaluation of our concepts and quantitatively evaluate different offloading scenarios using real usage data to prove that mobile applications indeed benefit from context-aware self-adaptation techniques. Finally, we conclude with a discussion of open challenges.","G Orsini, D Bade, W Lamersdorf ",Transactions on Emerging Telecommunications Technologies,Journal Article,2018,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
132,Transparent and adaptive application partitioning using mobile objects,"The dynamic nature and heterogeneity of modern execution environments such as mobile, ubiquitous, and grid computing, present major challenges for the development and efficient execution of the applications targeted for these environments. In particular, applications tailored to run in a specific environment will show different and most likely sub-optimal behaviour when executed on a different and/or dynamic environment. Consequently, there has been growing interests in the area of application adaptation which aims to enable applications to cope with the varying execution environments.

Adaptive application partitioning, a specific form of non-functional adaptation involving distribution of mobile objects across multiple host machines, is of particular interest to this thesis due to the diversity of its uses. In this approach, certain runtime information (known as context) is used to allow an object-oriented application to adaptively (re)adjust the placement of its objects during its execution, for purposes such as improving application performance and reliability as well as balancing resource utilisation across machines. Promoting the adoption of such adaptation requires a process that requires minimal human involvement in both the execution and the development of the relevant application. These challenges establish the main goals and contributions of this work, which include:

1) Proposing an effective application partitioning solution via the adoption of a decentralised adaptation strategy known as local adaptation.
2) Enabling adaptive application partitioning which does not require human intervention, through automatic collection of required information/context.
3) Proposing a solution for transparently injecting the required adaptation functionality into regular object-oriented applications allowing significant reduction of the associated development cost/effort.

The proposed solutions have been implemented in a Java-based adaptation framework called MobJeX. This implementation, which was used as a test bed for the empirical experiments undertaken in this study, can be used to facilitate future research relevant to this particular study.",H Gani,RMIT University,PhD Thesis,2010,Query,no,no,no,,,,,,,x,,,
133,Adaptive Code Ofﬂoading and Resource-intensive Task Delegation for Mobile Cloud Applications,"Mobile cloud computing is arising as a prominent domain that is seeking to bring the massive advantages of the cloud to the resource constrained smartphones, by following a delegation or oﬄoading criteria. In a delegation model, a mobile device consumes services from multiple clouds by following their Web API. In the oﬄoading model, a mobile application is partitioned and analyzed so that the most computational expensive operations at code level can be identiﬁed and oﬄoaded for remote processing. This paper proposes a mobile cloud architecture that enhances the decision of oﬄoading process with asynchronous cloud processing that targets cloud infrastructure and code oﬄoading traces, also taking advantage of the middleware based delegation model.","H Flores, SN Srirama",Proceeding of the fourth ACM workshop on Mobile cloud computing and services,Conference Paper,2013,Query,yes,yes,yes,,,,x,,,,,,
